comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
data_type_within_RF_PCA,fimo,deep,precision,-1.7119873705402422,0.12624762719400678,False,-1.0827558832699626,-0.04224197653084205,0.8390320783547734,0.8812740548856155,0.04205474396277878,0.035713968725052815,5,5,RF,PCA
data_type_within_RF_PCA,fimo,rp,precision,2.403503895461162,0.045956502892454724,True,1.5201093349489017,0.05569226044649411,0.8390320783547734,0.7833398179082793,0.04205474396277878,0.03026449189137458,5,5,RF,PCA
data_type_within_RF_PCA,fimo,reg,precision,-3.699990308208428,0.008890990011042705,True,-2.3400793388974055,-0.08055108453851534,0.8390320783547734,0.9195831628932888,0.04205474396277878,0.024519340865035908,5,5,RF,PCA
data_type_within_RF_PCA,deep,rp,precision,4.677954991446035,0.0017031791917431324,True,2.958598512944592,0.09793423697733616,0.8812740548856155,0.7833398179082793,0.035713968725052815,0.03026449189137458,5,5,RF,PCA
data_type_within_RF_PCA,deep,reg,precision,-1.9773851888488447,0.08802745046892017,False,-1.2506082016489066,-0.03830910800767329,0.8812740548856155,0.9195831628932888,0.035713968725052815,0.024519340865035908,5,5,RF,PCA
data_type_within_RF_PCA,rp,reg,precision,-7.821459875368396,6.464848580626717e-05,True,-4.946725566756166,-0.13624334498500945,0.7833398179082793,0.9195831628932888,0.03026449189137458,0.024519340865035908,5,5,RF,PCA
data_type_within_RF_PCA,fimo,deep,recall,-2.01151110848507,0.08385447271783902,False,-1.272191328308574,-0.042749998717911075,0.8454752693253056,0.8882252680432167,0.03927081548457777,0.02676162832017415,5,5,RF,PCA
data_type_within_RF_PCA,fimo,rp,recall,2.4616721233787207,0.04257903793078827,True,1.5568981524839574,0.05280039338240605,0.8454752693253056,0.7926748759428995,0.03927081548457777,0.02753361602289669,5,5,RF,PCA
data_type_within_RF_PCA,fimo,reg,recall,-3.5289946303282145,0.012554104300828341,True,-2.231932176468216,-0.06957861978336799,0.8454752693253056,0.9150538891086736,0.03927081548457777,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,deep,rp,recall,5.56450820860946,0.0005333703086429237,True,3.5193039995818527,0.09555039210031713,0.8882252680432167,0.7926748759428995,0.02676162832017415,0.02753361602289669,5,5,RF,PCA
data_type_within_RF_PCA,deep,reg,recall,-1.7944503690583564,0.11345051164928283,False,-1.1349100628708289,-0.026828621065456915,0.8882252680432167,0.9150538891086736,0.02676162832017415,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,rp,reg,recall,-8.03609983129096,7.002709749115134e-05,True,-5.082475794274857,-0.12237901316577404,0.7926748759428995,0.9150538891086736,0.02753361602289669,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,fimo,deep,auc,-0.6247236851504258,0.5506316685853314,False,-0.39510995066585114,-0.016301748778463132,0.8760566557571232,0.8923584045355863,0.03566655598056354,0.046178655633744875,5,5,RF,PCA
data_type_within_RF_PCA,fimo,rp,auc,2.6335951142140592,0.030182531092419203,True,1.6656317991215421,0.06200092815455471,0.8760566557571232,0.8140557276025685,0.03566655598056354,0.038718212461593106,5,5,RF,PCA
data_type_within_RF_PCA,fimo,reg,auc,-1.6578585850213903,0.13907591832482843,False,-1.0485218334263005,-0.04434145195634809,0.8760566557571232,0.9203981077134713,0.03566655598056354,0.04800727496885421,5,5,RF,PCA
